Code,_id,Shop Name Tc,Shop Name En,DistrictTc,DistrictEn,Latitude,Longitude,Store.AddressTc,Store.AddressEn,Store.Is24Hours
1503,856,7-Eleven 中環,7-Eleven Central,中環,Central,22.280623,114.155008,香港中環雲咸街41號地下,"Ground Floor, No. 41 Wyndham Street, Central, Hong Kong",TRUE
489,177,7-Eleven 中環,7-Eleven Central,中環,Central,22.2803743,114.1537985,香港堅道27號地下,"G/F., 27 Caine Road, Hong Kong",TRUE
273,80,7-Eleven 中環,7-Eleven Central,中環,Central,22.2817315,114.1515305,香港堅道89號地下,"G/F, 89 Caine Road, HK",TRUE
1201,605,7-Eleven 中環,7-Eleven Central,中環,Central,22.2810291,114.1556883,香港蘭桂芳3號地下,"Ground Floor, No. 3, Lan Kwai Fong, Hong Kong",TRUE
721,293,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28198836,114.1577768,港鐵中環站CEN W9號舖                           ,Shop No. CEN W9 at Central Station Hong Kong,FALSE
1088,516,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28495423,114.1577312,港鐵香港站HOK 59號舖位,"Concession HOK 59 at Hong Kong MTR Station, Hong Kong",FALSE
1500,853,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28493686,114.1577473,港鐵香港站L3樓層HOK 23A舖,"Concession HOK 23A, Level L3, MTR Hong Kong Station",FALSE
1501,854,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28454472,114.1584447,港鐵香港站L3樓層HOK 57舖,"Concession HOK 57, Level L3, MTR Hong Kong Station",FALSE
1450,806,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.284644,114.1580746,港鐵香港站商舖HOK 10,Shop HOK10 at MTR Hong Kong Station,FALSE
1054,496,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.28681811,114.1610759,香港中環天星碼頭下層 B號舖,"Shop No.B Lower Deck Level, Central Pier, Star Ferry, Hong Kong",FALSE
1446,802,7-Eleven 中環 (非24小時營業),7-Eleven Central (Non-24 Hours),中環,Central,22.282784,114.157597,香港中環干諾道中13-14號及德輔道中21-23號歐陸貿易中心地下Y2號舖,"Shop Y2, G/F, Euro Trade Centre, Nos.13-14 Connaught Road Central & Nos. 21-23 Des Voeux Road Central, Hong Kong",FALSE
