@relation 'pg_711-weka.filters.unsupervised.attribute.Remove-R1-5,9-11'

@attribute District {'Sheung Shui','Sheung Wan',Central,'Kowloon City','Kowloon Tong','Kowloon Bay',Jordan,Homantin,'Yuen Long','North Point',Mid-Level,Southern,'To Kwa Wan','Tai Wai','Tai Po',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Tseung Kwan O','Siu Sai Wan','Tsim Sha Tsui','Tsim Sha Tsui East','Tuen Mun','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Airport,Shatin,'Yau Tong',Yaumatei,'Sham Shui Po','Wan Chai','Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping','Shau Kei Wan',Fanling,'Hung Hom','Lo Wu','Mei Foo','Tsuen Wan','Lai Chi Kok','Lok Ma Chau','Kwai Chung','Lam Tin','Sai Wan Ho',Western,'Sai Kung','Kwun Tong','Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Cheung Sha Wan','Cheung Chau','Tsing Yi',Aberdeen,'Ma On Shan','Quarry Bay','Ap Lei Chau','Wong Tai Sin'}
@attribute Lat numeric
@attribute Long numeric

@data
'Tai Wai',22.378,114.176062
'Tai Wai',22.374651,114.176331
'Tai Wai',22.374375,114.177381
'Tai Wai',22.369476,114.178027
'Tai Wai',22.367607,114.175625
'Tai Wai',22.375734,114.177909
'Tai Wai',22.378011,114.176166
'Tai Wai',22.365088,114.175428
'Tai Wai',22.377936,114.194003
'Tai Wai',22.372728,114.178848
'Tai Wai',22.373653,114.197203
'Tai Wai',22.372718,114.178698
'Tai Po',22.452738,114.166947
'Tai Po',22.449538,114.163861
'Tai Po',22.483976,114.141056
'Tai Po',22.447682,114.167461
'Tai Po',22.447641,114.166193
'Tai Po',22.451341,114.162111
'Tai Po',22.450548,114.160647
'Tai Po',22.453216,114.167647
'Tai Po',22.452262,114.170201
'Tai Po',22.452603,114.171987
'Tai Po',22.452648,114.168911
'Tai Po',22.454118,114.174728
'Tai Po',22.454108,114.174718
'Tai Po',22.448275,114.174275
'Tai Po',22.447592,114.168854
'Tai Po',22.448462,114.167404
'Tai Po',22.448273,114.166206
'Tai Po',22.452742,114.163216
'Tai Po',22.453442,114.164888
'Tai Po',22.442249,114.167336
'Tai Po',22.444514,114.16946
'Tai Po',22.444418,114.170997
'Tai Po',22.462444,114.152219
'Tai Po',22.44829,114.174218
'Tai Po',22.443431,114.169234
'Tai Po',22.431138,114.206026
'Tai Po',22.469032,114.194227
'Tai Po',22.450749,114.161186
University,22.321702,114.177987
'Lantau Island',22.310096,114.000903
'Lantau Island',22.296795,114.017621
'Lantau Island',22.264134,114.00186
'Lantau Island',22.296641,113.921034
'Lantau Island',22.308129,114.016301
'Lantau Island',22.256099,113.902954
'Lantau Island',22.26554,113.996977
'Lantau Island',22.308105,114.016605
'Lantau Island',22.315426,114.039918
'Lantau Island',22.319723,114.037389
'Tai Kok Tsui',22.319849,114.165625
'Tai Kok Tsui',22.322102,114.16161
'Tai Kok Tsui',22.321257,114.161167
'Tai Kok Tsui',22.319765,114.162607
'Tai Kok Tsui',22.320835,114.164534
'Tai Kok Tsui',22.324539,114.160445
'Tai Kok Tsui',22.320646,114.161724
'Tin Shui Wai',22.452789,114.000417
'Tin Shui Wai',22.45733,114.004644
'Tin Shui Wai',22.451716,114.001506
'Tin Shui Wai',22.45855,114.001731
'Tin Shui Wai',22.468318,114.000076
'Tin Shui Wai',22.468187,114.000353
'Tin Shui Wai',22.457916,114.002851
'Tin Shui Wai',22.457916,114.002851
'Tin Shui Wai',22.45329,114.007383
'Tin Shui Wai',22.462328,114.003367
'Tin Shui Wai',22.450758,114.004356
'Tin Shui Wai',22.468242,113.99884
'Tin Shui Wai',22.456017,113.998373
'Tin Shui Wai',22.461254,113.99648
'Tin Shui Wai',22.461563,113.997788
'Tin Shui Wai',22.448265,114.004845
'Tin Shui Wai',22.448277,114.004633
'Tin Shui Wai',22.457271,114.004751
'Tin Shui Wai',22.465475,113.998969
'Tin Shui Wai',22.461172,113.998038
'Tai Koo Shing',22.285974,114.218416
'Tai Koo Shing',22.285279,114.220157
'Tai Koo Shing',22.284654,114.21633
'Tai Koo Shing',22.286399,114.220274
'Tai Koo Shing',22.283681,114.215401
'Prince Edward',22.324847,114.167356
'Prince Edward',22.324366,114.167655
'Prince Edward',22.324071,114.168224
'Prince Edward',22.324631,114.168248
'Tseung Kwan O',22.303818,114.250233
'Tseung Kwan O',22.31558,114.264379
'Tseung Kwan O',22.316094,114.262367
'Tseung Kwan O',22.305987,114.251182
'Tseung Kwan O',22.310974,114.261177
'Tseung Kwan O',22.317274,114.264773
'Tseung Kwan O',22.306734,114.262383
'Tseung Kwan O',22.320646,114.266524
'Tseung Kwan O',22.325294,114.25619
'Tseung Kwan O',22.306504,114.263081
'Tseung Kwan O',22.32085,114.261568
'Tseung Kwan O',22.323917,114.254519
'Tseung Kwan O',22.322686,114.249138
'Tseung Kwan O',22.322671,114.255324
'Tseung Kwan O',22.313879,114.265714
'Tseung Kwan O',22.310416,114.256385
'Tseung Kwan O',22.322448,114.257813
'Tseung Kwan O',22.307798,114.25913
'Tseung Kwan O',22.314742,114.265747
'Tseung Kwan O',22.31444,114.263394
'Tseung Kwan O',22.323681,114.257452
'Tseung Kwan O',22.32246,114.256965
'Tseung Kwan O',22.304566,114.251152
'Tseung Kwan O',22.320683,114.256649
'Tseung Kwan O',22.319694,114.252593
'Tseung Kwan O',22.30605,114.251123
'Tseung Kwan O',22.31558,114.264421
'Tseung Kwan O',22.322468,114.257877
'Tseung Kwan O',22.307322,114.260001
'Tseung Kwan O',22.307542,114.260554
'Tseung Kwan O',22.295916,114.269528
'Tseung Kwan O',22.295728,114.268852
'Tseung Kwan O',22.303708,114.252148
'Siu Sai Wan',22.266461,114.250015
'Tsim Sha Tsui',22.302591,114.172018
'Tsim Sha Tsui',22.295869,114.172871
'Tsim Sha Tsui',22.297257,114.172639
'Tsim Sha Tsui',22.298561,114.173967
'Tsim Sha Tsui',22.298219,114.173312
'Tsim Sha Tsui',22.300865,114.178202
'Tsim Sha Tsui',22.297072,114.170676
'Tsim Sha Tsui',22.302609,114.175472
'Tsim Sha Tsui',22.2947,114.169015
'Tsim Sha Tsui',22.297612,114.171393
'Tsim Sha Tsui',22.298007,114.173865
'Tsim Sha Tsui',22.297072,114.175194
'Tsim Sha Tsui',22.300959,114.176194
'Tsim Sha Tsui',22.296077,114.171408
'Tsim Sha Tsui',22.297949,114.174195
'Tsim Sha Tsui',22.300337,114.173011
