ShopName,Address_FullAddress,Address_Lat,Address_Lng,Address_LocationType,Address_PlaceID,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthsupp Concept,"香港中環德輔道中112-114號順安商業大廈14樓A室, Hong Kong",22.2849974,114.1551059,ROOFTOP,ElBhLCBTaHVuIE9uIENvbW1lcmNpYWwgQnVpbGRpbmcsIDExMi0xMTQgRGVzIFZvZXV4IFJkIENlbnRyYWwsIENlbnRyYWwsIEhvbmcgS29uZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masiay's handmade workshop（手工皂專門店）,"ma wang road, Yuen Long Town",22.4435767,114.0219763,ROOFTOP,ChIJyxzXgXX6AzQRPmP0hFmqmYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elvis+elvin Hong Kong,"Harvey Nichols / Pacific Place, Admiralty, Hong Kong, Central District, Hong Kong",22.2771778,114.1644303,ROOFTOP,ChIJeZbjNGYABDQRYCz7lXjW3SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtPro Nail Hong Kong - Artpronail.hk,"尖沙咀 漆咸道南 65號 首都廣場 1樓 F167 & F180 舖 （尖沙咀 金馬倫道 地鐵B2), 00852 Tsim Sha Tsui, Hong Kong",22.2996806,114.175516,ROOFTOP,ChIJV9KOX-4ABDQRoyp6dWImnts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue-Beauty,"青山道489-491號香港工業中心B座1字樓B1-3室, Lai Chi Kok, Hong Kong",22.337866,114.1471275,ROOFTOP,ChIJEyN2AVUHBDQR5eEXAXDhTsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostive Hong Kong,"香港九龍荔枝角青山道489-491號香港工業中心B座1字樓B1-3室, Lai Chi Kok, Hong Kong",22.337866,114.1471275,ROOFTOP,ChIJEyN2AVUHBDQR5eEXAXDhTsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The beauty place,"3/F Jade Centre, 98 Wellington Street, na Central District, Hong Kong",22.2829196,114.1544556,ROOFTOP,ChIJD-YKXXsABDQRrMuvARyE0FU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SzeNga ? Aestheic 詩雅 ? 美學,"尖沙咀, 0000",22.3012644,114.167669,ROOFTOP,ChIJPQJYK5MABDQROiuIiVImYAg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ga-Ru Japanese Lash & Nail,"Rm 601 , Tern Commercial Building,39 Granville Road, Tsim Sha Tsui, 香港",22.300201,114.1745665,ROOFTOP,ChIJCRsvj-4ABDQR1uE46f6Igo8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISEKI HOT STONE SPA,"6/F, CHINA HONG KONG CENTRE, NO. 122-126 CANTON ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG., N/A Tsim Sha Tsui, Hong Kong",22.2994919,114.1686912,ROOFTOP,ChIJzfPmOO0ABDQRKDqeUr270ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
